gene_id	ncbi_refseq	eff_length	tpm_1d_rep1	tpm_1d_rep2	tpm_1d_rep3	tpm_10d_rep1	tpm_10d_rep2	tpm_10d_rep3	tpm_10d_rep4	mean_tpm_1d	mean_tpm_10d	pvalue	qvalue	log2fc	regulation	tair_description	at_accession	at_evalue	regulation_label
Nitab4.5_0009567g0010.1	XM_016650387.1	988	0	0	0	0	555.542942	525.041026	514.58751	0	531.7238259999999	5.17741551684356e-25	8.21051810712775e-23	9.2909285131549	1	ATEXLB1, EXPR, AT-EXPR, ATEXPR1, ATHEXP BETA 3.1, EXLB1: Expansin B1, cellulose-binding-like domain, Expansin/pollen allergen, DPBB domain, RlpA-like double-psi beta-barrel domain, Barwin-like endoglucanase	AT4G17030.1	5.9999999999999998E-78	UP
Nitab4.5_0022765g0010.1	XM_016640492.1	1052	0	0	0	0	288.150014	251.981262	306.92369	0	282.3516553333333	4.38324953025416e-21	4.63406880892981e-19	8.6357210432766	1	GAMMA-TIP, TIP1;1, GAMMA-TIP1: gamma tonoplast intrinsic protein	AT2G36830.1	1E-146	UP
Nitab4.5_0000278g0010.1	XM_016600503.1	480	0	0	0	0	858.526668	329.659163	874.951274	0	687.7123683333333	1.83727917237574e-19	1.6453375364852e-17	8.49501165081579	1	HSP20-like chaperones superfamily protein	AT5G59720	AT5G59720	UP
Nitab4.5_0009946g0020.1	XM_016608865.1	843	0	0	0	0	280.535702	386.968684	169.518667	0	279.0076843333334	1.34439364986249e-24	2.063210577168e-22	8.39142962578719	1	Aluminium induced protein with YGL and LRDR motifs	AT4G27450.1	3.9999999999999999E-140	UP
Nitab4.5_0000073g0350.1	XM_016588258.1	865	0	0	0	0.507259	576.494926	305.201128	513.485164	0.12681475	465.06040600000006	4.28938584051966e-33	1.24621393198609e-30	8.37523751369376	1	HSP20-like chaperones superfamily protein	AT1G53540.1	1.9999999999999999E-82	UP
Nitab4.5_0014015g0010.1	XM_016602129.1	996	0	0	0	0	139.164721	376.541766	97.336081	0	204.34752266666666	4.4170582986724e-19	3.82945874367816e-17	8.29430910246801	1	Peroxidase superfamily protein', Solanaceae	AT3G49960.1	0.45	UP
Nitab4.5_0000032g0010.1	XM_016631739.1	1308	0	0	0	0	159.325616	195.258693	156.009926	0	170.1980783333333	9.74534322111013e-19	8.04572154003149e-17	8.27938779956119	1	Inositol monophosphatase family protein	AT1G43670.1	0	UP
Nitab4.5_0009672g0010.1	XM_016629405.1	2562	0	0	0	0	75.575299	75.380963	85.152506	0	78.70292266666667	3.14826767122689e-26	5.5218003487048604e-24	8.16012224332099	1	ATTPS11, TPS11, ATTPSB: trehalose phosphatase/synthase 11	AT2G18700.1	0	UP
Nitab4.5_0003382g0020.1	XM_016624933.1	1014	91.656331	88.71595	68.114727	46.301904	0	0	0	73.697228	0	3.28118315388364e-156	3.12204577092028e-152	-8.07689073987147	2	Chalcone-flavanone isomerase family protein	AT5G66230.1	3.9999999999999999E-85	DOWN
Nitab4.5_0008232g0020.1	XM_016583001.1	3594	31.141167	47.797783	42.234303	33.572673	0	0	0	38.6864815	0	8.55866910990075e-227	1.62871473161411e-222	-7.96810790197117	2	Kinesin motor family protein	AT3G20150.1	0	DOWN
